"","gyrR","sas1","sas2","dih1","dih2","isok"
"22",0.84177,0.415,0.302,117.7714,354.184,TRUE
"90",0.890745,0.679,0.226,115.5667,112.9446,TRUE
"83",0.901387,0.491,0.226,237.372,355.298,TRUE
"48",0.954204,0.566,0.264,118.314,356.96,TRUE
"87",0.961101,0.528,0.34,120.5705,245.2763,TRUE
"96",0.968138,0.566,0.264,116.8291,354.315,TRUE
"78",0.970386,0.528,0.264,120.1764,355.658,TRUE
"100",0.977948,0.679,0.189,120.3572,112.2204,TRUE
"46",0.992612,0.566,0.226,119.7894,352.711,TRUE
"1",0.99457,0.566,0.226,117.7863,354.814,TRUE
"13",0.999549,0.528,0.302,115.7997,356.736,TRUE
"28",1.0004,0.566,0.264,119.9938,353.267,TRUE
"43",1.00051,0.491,0.226,118.5701,353.98,TRUE
"8",1.00202,0.566,0.264,115.3135,357.069,TRUE
"35",1.00631,0.491,0.34,28.198,244.71,TRUE
"26",1.00866,0.566,0.302,119.6335,353.742,TRUE
"89",1.01148,0.528,0.264,116.9456,355.647,TRUE
"7",1.0138,0.453,0.189,117.7821,355.257,TRUE
"71",1.01575,0.453,0.264,119.1619,353.686,TRUE
"63",1.03015,0.528,0.264,118.1353,354.983,TRUE
"91",1.03087,0.566,0.189,115.2623,355.268,TRUE
"56",1.04362,0.528,0.189,113.5229,353.924,TRUE
"31",1.04676,0.604,0.189,117.6856,111.6987,TRUE
"5",1.05111,0.528,0.189,118.6239,111.3409,TRUE
"74",1.05536,0.415,0.226,119.0907,353.337,TRUE
"11",1.05692,0.566,0.226,120.0428,356.065,TRUE
"65",1.05711,0.491,0.189,117.9571,353.637,TRUE
"64",1.06857,0.491,0.226,115.7343,353.796,TRUE
"41",1.07731,0.528,0.302,117.6394,356.289,TRUE
"57",1.07752,0.566,0.226,118.4219,110.8952,TRUE
"51",1.08135,0.528,0.189,118.8734,113.5993,TRUE
"80",1.08509,0.528,0.264,117.156,357.179,TRUE
"18",1.08814,0.528,0.34,120.0862,243.8143,TRUE
"3",1.09224,0.34,0.302,24.426,352.729,TRUE
"81",1.09501,0.491,0.415,119.5849,243.6596,TRUE
"19",1.10118,0.528,0.264,119.7646,354.661,TRUE
"2",1.10156,0.604,0.264,112.7176,350.877,TRUE
"45",1.10537,0.453,0.189,119.778,112.8794,TRUE
"34",1.10589,0.566,0.264,120.9286,355.201,TRUE
"52",1.11131,0.491,0.264,116.3247,353.685,TRUE
"30",1.11188,0.566,0.34,118.6768,246.7901,TRUE
"44",1.12175,0.377,0.264,236.0318,354.652,TRUE
"33",1.12375,0.528,0.264,116.3285,354.749,TRUE
"67",1.12584,0.415,0.189,116.5996,354.059,TRUE
"92",1.12847,0.415,0.189,115.0624,354.004,TRUE
"66",1.12864,0.604,0.189,116.344,358.182,TRUE
"14",1.13127,0.415,0.264,236.2068,353.495,TRUE
"76",1.13263,0.491,0.264,119.3124,353.028,TRUE
"37",1.13407,0.453,0.377,117.2664,246.6055,TRUE
"84",1.14085,0.528,0.302,120.0177,354.343,TRUE
"12",1.14182,0.415,0.302,116.5021,353.636,TRUE
"55",1.14232,0.604,0.377,116.2159,244.7401,TRUE
"25",1.1433,0.566,0.264,237.1232,353.605,TRUE
"39",1.14686,0.491,0.264,118.6265,354.348,TRUE
"59",1.15085,0.566,0.377,117.9931,244.3142,TRUE
"98",1.15343,0.566,0.377,115.813,245.3541,TRUE
"62",1.16072,0.528,0.302,118.3026,353.763,TRUE
"61",1.16433,0.642,0.264,112.4852,357.553,TRUE
"36",1.1654,0.528,0.302,120.2148,355.249,TRUE
"50",1.1705,0.491,0.34,118.0305,248.4509,TRUE
"99",1.17128,0.491,0.264,119.2955,357.899,TRUE
"60",1.17316,0.604,0.226,118.817,112.7443,TRUE
"6",1.17432,0.642,0.264,117.9377,353.458,TRUE
"40",1.1762,0.528,0.264,121.1901,353.494,TRUE
"4",1.17953,0.604,0.302,119.7316,351.668,TRUE
"72",1.18047,0.528,0.264,119.2016,354.757,TRUE
"69",1.18439,0.642,0.264,118.1155,356.092,TRUE
"9",1.19056,0.491,0.264,119.3173,355.014,TRUE
"23",1.19289,0.679,0.415,118.9993,256.4074,TRUE
"97",1.19456,0.566,0.264,118.7399,354.468,TRUE
"75",1.19623,0.302,0.415,117.5874,244.2053,TRUE
"73",1.19795,0.453,0.226,118.8763,351.22,TRUE
"70",1.19951,0.566,0.415,118.769,243.4455,TRUE
"68",1.20033,0.566,0.264,234.1808,352.715,TRUE
"54",1.20524,0.453,0.226,119.046,354.928,TRUE
"32",1.20637,0.528,0.189,117.9595,356.261,TRUE
"15",1.2064,0.415,0.415,115.6886,243.1833,TRUE
"10",1.2109,0.528,0.189,119.8277,354.132,TRUE
"38",1.21114,0.566,0.264,117.5692,353.191,TRUE
"47",1.21343,0.566,0.377,117.5044,243.0106,TRUE
"53",1.218,0.528,0.264,117.359,353.947,TRUE
"88",1.21879,0.453,0.264,117.0669,354.457,TRUE
"24",1.21948,0.491,0.264,116.8783,355.391,TRUE
"79",1.2215,0.528,0.264,121.105,354.602,TRUE
"16",1.22416,0.642,0.226,118.4476,354.001,TRUE
"82",1.2242,0.604,0.189,117.34,113.903,TRUE
"49",1.22623,0.528,0.226,119.1956,112.2196,TRUE
"85",1.22752,0.528,0.151,120.5418,112.7657,TRUE
"86",1.22781,0.604,0.34,120.2089,244.199,TRUE
"27",1.2298,0.528,0.226,114.0482,352.972,TRUE
"58",1.2341,0.566,0.302,120.7487,353.992,TRUE
"93",1.24032,0.604,0.264,112.3127,356.405,TRUE
"94",1.24747,0.415,0.226,117.7507,353.052,TRUE
"95",1.25512,0.528,0.264,114.9183,354.251,TRUE
"21",1.25591,0.453,0.264,25.205,354.779,TRUE
"77",1.25694,0.453,0.34,120.6394,246.7979,TRUE
"17",1.25904,0.453,0.302,232.2784,354.446,TRUE
"42",1.26187,0.453,0.226,122.4299,112.2214,TRUE
"29",1.28011,0.566,0.264,120.8064,354.924,TRUE
"20",1.2924,0.415,0.264,119.1271,354.848,TRUE
